platform,app,app_id,play_store_url,review_id,user_name,rating,text,language,date,thumbs_up,replied
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14249324402,LSKA09,1,سيئ لايعمل التطبيق عند فتحه لازم تغلقه وتفتح مرة اخرى لكي يعمل من اكثر من ستت شهور — سيئ لايعمل التطبيق عند فتحه لازم تغلقه وتفتح مرة اخرى لكي يعمل من اكثر من ستت شهور,ar,2026-07-01T05:41:56-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14239662703,mr niol,1,خدمة عملاء سيئة — تطبيق عفن خدمة عملاء سيئة يحجز الفلوس لاتفه سبب ولما ترفع شكوى مايحد يفيد بشي ويقولو ٥ ايام عمل,ar,2026-06-28T23:04:20-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14239540422,KZM@8,1,New Alinma App — Has so many bugs can’t use it,en,2026-06-28T22:09:58-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14221434028,mousa oqdi,2,تم ايقاف التعامل — بسبب عدم اضافه الخدمات المطلوبه تم التحويل لبنك اخر يحتاج الغاء الحساب الاضافيه والادخاريه بدون مراجعه الفرع مثل بعض البنوك اذا كان العميل عنده اكثر من حساب وليس بحاجه له,ar,2026-06-24T10:27:51-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14220631789,bedo ezz,5,ممتاز — ممتاز,ar,2026-06-24T06:32:38-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14211380869,بدر @,1,تعليق التطبيق — تطبيق سيء وكثيراً ما يكون خارج الخدمة,ar,2026-06-21T20:05:51-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14202556167,حازم sa,1,تطبيق زفت — وش ذا القرف التطبيق مايشتغل ويعلق قبل مايفتح نكبني والله,ar,2026-06-19T13:00:51-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14198893782,Toufeeeeee,1,Bad service — My al inma bank debit card has beenfrozen and despite visiting your jubail branch my issue has still not been resolved .,en,2026-06-18T14:35:37-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14198235634,Traveler321,2,التطبيق لا يغني عن المتصفح حيث تتطلب العديد من الخدمات الدخول عبر المتصفح — التطبيق لا يغني عن المتصفح حيث تتطلب العديد من الخدمات الدخول عبر المتصفح,ar,2026-06-18T10:49:13-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14193499819,الحيااة حلووة,3,اسوء تطبيق بنكي — الان جوالي معلق ومو قادره احدث التطبيق قفل التطبيق على اموالي كيف اتصرف فيها,ar,2026-06-17T06:46:38-07:00,0,False
